Age,BusinessTravelN,DailyRate,DepartmentN,DistanceFromHome,Education,EducationFieldN,EmployeeCount,EnvironmentSatisfaction,GenderN,HourlyRate,JobInvolvement,JobLevel,JobRole_N,JobSatisfaction,MaritalStatus_N,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18N,OverTimeN,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionN,Attrition
49,1,1245,1,18,4,3,1,4,1,58,2,5,8,3,3,19502,2125,1,1,1,17,3,3,80,1,31,5,3,31,9,0,9,0,No
40,1,1416,1,2,2,4,1,1,1,49,3,5,8,3,3,19436,5949,0,1,0,19,3,4,80,1,22,5,3,21,7,3,9,0,No
39,0,105,1,9,3,3,1,4,1,87,3,5,9,4,1,19431,15302,2,1,0,13,3,3,80,0,21,3,2,6,0,1,3,0,No
41,2,840,1,9,3,4,1,1,1,64,3,5,8,3,3,19419,3735,2,1,0,17,3,2,80,1,21,2,4,18,16,0,11,0,No
54,1,821,1,5,2,4,1,1,1,86,3,5,8,1,2,19406,8509,4,1,0,11,3,3,80,1,24,4,2,4,2,1,2,0,No
43,1,823,1,6,3,4,1,1,0,81,2,5,9,3,2,19392,22539,7,1,0,13,3,4,80,0,21,2,3,16,12,6,14,0,No
50,1,264,2,9,3,6,1,3,1,59,3,5,9,3,2,19331,19519,4,1,1,16,3,3,80,1,27,2,3,1,0,0,0,0,No
46,1,734,1,2,4,4,1,3,1,46,3,5,8,4,3,19328,14218,7,1,1,17,3,3,80,1,24,3,3,2,1,2,2,0,No
39,2,672,1,7,2,4,1,3,1,54,2,5,9,4,2,19272,21141,1,1,0,15,3,1,80,1,21,2,3,21,9,13,3,0,No
58,1,286,1,2,4,3,1,4,1,31,3,5,8,2,1,19246,25761,7,1,1,12,3,4,80,0,40,2,3,31,15,13,8,1,Yes
50,1,1464,1,2,4,4,1,2,1,62,3,5,8,3,2,19237,12853,2,1,1,11,3,4,80,1,29,2,2,8,1,7,7,0,No
42,1,532,1,4,2,1,1,3,1,58,3,5,9,4,2,19232,4933,1,1,0,11,3,4,80,0,22,3,3,22,17,11,15,0,No
45,1,252,1,1,3,2,1,3,1,70,4,5,9,4,2,19202,15970,0,1,0,11,3,3,80,1,25,2,3,24,0,1,7,0,No
39,2,1218,1,1,1,3,1,2,1,52,3,5,9,3,3,19197,8213,1,1,1,14,3,3,80,1,21,3,3,21,8,1,6,0,No
44,1,1199,1,4,2,3,1,3,1,92,4,5,9,1,3,19190,17477,1,1,0,14,3,4,80,2,26,4,2,25,9,14,13,0,No
41,1,314,0,1,3,5,1,4,1,59,2,5,9,3,2,19189,19562,1,1,0,12,3,2,80,1,22,3,3,22,7,2,10,0,No
55,1,282,1,2,2,4,1,4,0,58,1,5,9,3,2,19187,6992,4,1,0,14,3,4,80,1,23,5,3,19,9,9,11,0,No
49,2,1064,1,2,1,3,1,2,1,42,3,5,8,4,2,19161,13738,3,1,0,15,3,4,80,0,28,3,3,5,4,4,3,0,No
50,1,797,1,4,1,3,1,1,1,96,3,5,8,2,3,19144,15815,3,1,0,14,3,1,80,2,28,4,2,10,4,1,6,0,No
41,1,427,0,10,4,5,1,2,1,73,2,5,9,4,3,19141,8861,3,1,0,15,3,2,80,3,23,2,2,21,6,12,6,0,No
53,1,1282,1,5,3,2,1,3,0,58,3,5,9,3,3,19094,10735,4,1,0,11,3,4,80,1,26,3,2,14,13,4,8,0,No
46,1,1450,1,15,2,3,1,4,1,52,3,5,8,2,2,19081,10849,5,1,0,11,3,1,80,1,25,2,3,4,2,0,3,0,No
52,0,771,2,2,4,3,1,1,1,79,2,5,9,3,1,19068,21030,1,1,1,18,3,4,80,0,33,2,4,33,7,15,12,0,No
44,1,1313,1,7,3,4,1,2,0,31,3,5,8,4,3,19049,3549,0,1,1,14,3,4,80,1,23,4,2,22,7,1,10,0,No
55,1,452,1,1,3,4,1,4,1,81,3,5,9,1,1,19045,18938,0,1,1,14,3,3,80,0,37,2,3,36,10,4,13,0,No
55,1,478,1,2,3,4,1,3,1,60,2,5,8,1,2,19038,19805,8,1,0,12,3,2,80,3,34,2,3,1,0,0,0,0,No
40,1,989,1,4,1,4,1,4,0,46,3,5,9,3,2,19033,6499,1,1,0,14,3,2,80,1,21,2,3,20,8,9,9,0,No
46,1,705,2,2,4,6,1,2,0,83,3,5,9,1,1,18947,22822,3,1,0,12,3,4,80,0,22,2,2,2,2,2,1,0,No
42,1,300,1,2,3,3,1,1,1,56,3,5,9,3,2,18880,17312,5,1,0,11,3,1,80,0,24,2,2,22,6,4,14,0,No
59,0,1420,0,2,4,5,1,3,0,32,2,5,9,4,2,18844,21922,9,1,0,21,4,4,80,1,30,3,3,3,2,2,2,0,No
45,1,1449,2,2,3,6,1,1,0,94,1,5,9,2,1,18824,2493,2,1,1,16,3,1,80,0,26,2,3,24,10,1,11,1,Yes
46,1,168,2,4,2,6,1,4,0,33,2,5,9,2,2,18789,9946,2,1,0,14,3,3,80,1,26,2,3,11,4,0,8,0,No
50,1,989,1,7,2,4,1,2,0,43,2,5,8,3,3,18740,16701,5,1,1,12,3,4,80,1,29,2,2,27,3,13,8,0,No
55,1,692,1,14,4,4,1,3,1,61,4,5,8,2,1,18722,13339,8,1,0,11,3,4,80,0,36,3,3,24,15,2,15,0,No
49,1,1098,1,4,2,4,1,1,1,85,2,5,9,3,2,18711,12124,2,1,0,13,3,3,80,1,23,2,4,1,0,0,0,0,No
49,2,636,1,10,4,3,1,3,0,35,3,5,8,1,1,18665,25594,9,1,1,11,3,4,80,0,22,4,3,3,2,1,2,0,No
53,1,1223,1,7,2,4,1,4,0,50,3,5,9,3,3,18606,18640,3,1,0,18,3,2,80,1,26,6,3,7,7,4,7,0,No
42,2,570,1,8,3,3,1,2,1,66,3,5,9,4,3,18430,16225,1,1,0,13,3,2,80,1,24,4,2,24,7,14,9,0,No
42,1,265,2,5,2,6,1,4,1,90,3,5,9,3,2,18303,7770,6,1,0,13,3,2,80,0,21,3,4,1,0,0,0,0,No
47,1,1482,1,5,5,3,1,4,1,42,3,5,8,3,2,18300,16375,4,1,0,11,3,2,80,1,21,2,3,3,2,1,1,0,No
48,1,715,1,1,3,3,1,4,1,76,2,5,8,4,1,18265,8733,6,1,0,12,3,3,80,0,25,3,4,1,0,0,0,0,No
44,1,1099,2,5,3,6,1,2,1,88,3,5,9,2,2,18213,8751,7,1,0,11,3,3,80,1,26,5,3,22,9,3,10,0,No
50,2,1246,0,3,3,4,1,1,1,99,3,5,9,2,2,18200,7999,1,1,0,11,3,3,80,1,32,2,3,32,5,10,7,0,No
50,2,1115,1,1,3,3,1,1,0,73,3,5,8,2,2,18172,9755,3,1,1,19,3,1,80,0,28,1,2,8,3,0,7,0,No
45,2,364,1,25,3,4,1,2,0,83,3,5,9,2,1,18061,13035,3,1,0,22,4,3,80,0,22,4,3,0,0,0,0,0,No
40,1,1398,2,2,4,3,1,3,0,79,3,5,9,3,2,18041,13022,0,1,0,14,3,4,80,0,21,2,3,20,15,1,12,0,No
50,0,881,1,2,4,3,1,1,1,98,3,4,9,1,3,17924,4544,1,1,0,11,3,4,80,1,31,3,3,31,6,14,7,0,No
58,1,605,2,21,3,3,1,4,0,72,3,4,9,4,2,17875,11761,4,1,1,13,3,3,80,1,29,2,2,1,0,0,0,0,No
46,1,1009,1,2,3,3,1,1,1,51,3,4,8,3,2,17861,2288,6,1,0,13,3,3,80,0,26,2,1,3,2,0,1,0,No
42,0,495,1,2,1,3,1,3,1,37,3,4,9,3,2,17861,26582,0,1,1,13,3,4,80,0,21,3,2,20,8,2,10,0,No
50,2,1421,1,2,3,4,1,4,0,30,3,4,9,1,2,17856,9490,2,1,0,22,4,3,80,1,32,3,3,2,2,2,2,0,No
54,1,685,1,3,3,3,1,4,1,85,3,4,8,4,2,17779,23474,3,1,0,14,3,1,80,0,36,2,3,10,9,0,9,0,No
42,1,469,1,2,2,4,1,4,1,35,3,4,9,1,2,17665,14399,0,1,0,17,3,4,80,1,23,3,3,22,6,13,7,0,No
45,1,1234,2,11,2,3,1,4,0,90,3,4,9,4,2,17650,5404,3,1,0,13,3,2,80,1,26,4,4,9,3,1,1,0,No
50,1,691,1,2,3,4,1,3,1,64,3,4,8,3,2,17639,6881,5,1,0,16,3,4,80,0,30,3,3,4,3,0,3,0,No
43,1,1291,1,15,2,3,1,3,1,65,2,4,8,3,2,17603,3525,1,1,0,24,4,1,80,1,14,3,3,14,10,6,11,0,No
53,1,1070,1,3,4,4,1,3,1,45,3,4,8,3,2,17584,21016,3,1,1,16,3,4,80,3,21,5,2,5,3,1,3,0,No
46,1,563,2,1,4,3,1,4,1,56,4,4,9,1,1,17567,3156,1,1,0,15,3,2,80,0,27,5,1,26,0,0,12,0,No
46,1,406,2,3,1,6,1,1,1,52,3,4,9,3,2,17465,15596,3,1,0,12,3,4,80,1,23,3,3,12,9,4,9,0,No
33,0,722,2,17,3,3,1,4,1,38,3,4,9,3,1,17444,20489,1,1,0,11,3,4,80,0,10,2,3,10,8,6,0,0,No
54,1,584,1,22,5,4,1,2,0,91,3,4,9,3,2,17426,18685,3,1,0,25,4,3,80,1,36,6,3,10,8,4,7,0,No
50,1,1126,1,1,2,4,1,4,1,66,3,4,8,4,3,17399,6615,9,1,0,22,4,3,80,1,32,1,2,5,4,1,3,0,No
54,0,142,0,26,3,5,1,4,0,30,4,4,9,4,1,17328,13871,2,1,1,12,3,3,80,0,23,3,3,5,3,4,4,0,No
54,1,971,1,1,3,4,1,4,0,54,3,4,8,4,1,17328,5652,6,1,0,19,3,4,80,0,29,3,2,20,7,12,7,0,No
41,2,857,1,10,3,3,1,4,1,91,2,4,9,1,3,17181,12888,4,1,0,13,3,2,80,1,21,2,2,7,6,7,7,0,No
48,2,117,1,22,3,4,1,4,0,58,3,4,9,4,3,17174,2437,3,1,0,11,3,2,80,1,24,3,3,22,17,4,7,0,No
47,1,359,1,2,4,4,1,1,0,82,3,4,8,3,2,17169,26703,3,1,0,19,3,2,80,2,26,2,4,20,17,5,6,0,No
43,1,589,1,14,2,3,1,2,1,94,3,4,8,1,2,17159,5200,6,1,0,24,4,3,80,1,22,3,3,4,1,1,0,0,No
39,1,412,1,13,4,4,1,3,0,94,2,4,9,2,3,17123,17334,6,1,1,13,3,4,80,2,21,4,3,19,9,15,2,0,No
52,1,1053,1,1,2,3,1,4,1,70,3,4,9,4,2,17099,13829,2,1,0,15,3,2,80,1,26,2,2,9,8,7,8,0,No
39,1,117,1,10,1,4,1,3,1,99,3,4,9,1,2,17068,5355,1,1,1,14,3,4,80,0,21,3,3,21,9,11,10,0,No
46,1,1402,2,2,3,6,1,3,0,69,3,4,9,1,2,17048,24097,8,1,0,23,4,1,80,0,28,2,3,26,15,15,9,0,No
50,1,1099,1,29,4,3,1,2,1,88,2,4,9,3,2,17046,9314,0,1,0,15,3,2,80,1,28,2,3,27,10,15,7,0,No
34,2,829,1,15,3,4,1,2,1,71,3,4,8,1,3,17007,11929,7,1,0,14,3,4,80,2,16,3,2,14,8,6,9,0,No
43,2,394,2,26,2,3,1,3,1,92,3,4,9,4,2,16959,19494,1,1,1,12,3,4,80,2,25,3,4,25,12,4,12,0,No
48,0,1262,1,1,4,4,1,1,1,35,4,4,9,4,1,16885,16154,2,1,0,22,4,3,80,0,27,3,2,5,4,2,1,0,No
50,1,1322,1,28,3,3,1,4,0,43,3,4,8,1,2,16880,22422,4,1,1,11,3,2,80,0,25,2,3,3,2,1,2,0,No
46,1,488,2,2,3,1,1,3,0,75,1,4,9,2,2,16872,14977,3,1,1,12,3,2,80,1,28,2,2,7,7,7,7,0,No
52,1,621,2,3,4,6,1,3,1,31,2,4,9,1,2,16856,10084,1,1,0,11,3,1,80,0,34,3,4,34,6,1,16,0,No
55,1,1117,2,18,5,3,1,1,0,83,3,4,9,2,1,16835,9873,3,1,0,23,4,4,80,0,37,2,3,10,9,7,7,0,No
40,1,1137,1,1,4,3,1,1,1,98,3,4,9,1,3,16823,18991,2,1,0,11,3,1,80,1,22,3,3,19,7,11,16,0,No
42,1,1147,0,10,3,5,1,3,0,31,3,4,9,1,2,16799,16616,0,1,0,14,3,3,80,1,21,5,3,20,7,0,9,0,No
45,0,1195,1,2,2,4,1,1,1,65,2,4,9,4,2,16792,20462,9,1,0,23,4,4,80,1,22,1,3,20,8,11,8,0,No
55,0,444,1,2,1,4,1,3,1,40,2,4,9,1,1,16756,17323,7,1,0,15,3,2,80,0,31,3,4,9,7,6,2,0,No
47,1,202,1,2,2,2,1,3,0,33,3,4,9,4,2,16752,12982,1,1,1,11,3,3,80,1,26,3,2,26,14,3,0,0,No
45,1,1005,1,28,2,1,1,4,0,48,2,4,8,2,1,16704,17119,1,1,0,11,3,3,80,0,21,2,3,21,6,8,6,0,No
55,1,1311,1,2,3,3,1,3,0,97,3,4,9,4,1,16659,23258,2,1,1,13,3,3,80,0,30,2,3,5,4,1,2,0,No
43,1,782,1,6,4,2,1,2,1,50,2,4,8,4,3,16627,2671,4,1,1,14,3,3,80,1,21,3,2,1,0,0,0,0,No
46,1,228,2,3,3,3,1,3,0,51,3,4,9,2,2,16606,11380,8,1,0,12,3,4,80,1,23,2,4,13,12,5,1,0,No
53,1,447,1,2,3,4,1,4,1,39,4,4,8,2,1,16598,19764,4,1,0,12,3,2,80,0,35,2,2,9,8,8,8,0,No
41,1,1276,2,2,5,3,1,2,0,91,3,4,9,1,2,16595,5626,7,1,0,16,3,2,80,1,22,2,3,18,16,11,8,0,No
52,1,1490,1,4,2,3,1,4,0,30,3,4,9,4,2,16555,10310,2,1,0,13,3,4,80,0,31,2,1,5,2,1,4,0,No
40,1,898,0,6,2,4,1,3,1,38,3,4,9,4,1,16437,17381,1,1,1,21,4,4,80,0,21,2,3,21,7,7,7,0,No
31,1,182,1,8,5,3,1,1,0,93,3,4,8,2,1,16422,8847,3,1,0,11,3,3,80,0,9,3,4,3,2,1,0,0,No
49,1,301,1,22,4,2,1,1,0,72,3,4,8,2,2,16413,3498,3,1,0,16,3,2,80,2,27,2,3,4,2,1,2,0,No
44,1,136,1,28,3,3,1,4,1,32,3,4,8,1,2,16328,22074,3,1,0,13,3,3,80,1,24,1,4,20,6,14,17,0,No
51,1,1318,2,26,4,6,1,1,0,66,3,4,9,3,2,16307,5594,2,1,0,14,3,3,80,1,29,2,2,20,6,4,17,0,No
58,0,350,2,2,3,4,1,2,1,52,3,4,9,2,3,16291,22577,4,1,0,22,4,4,80,1,37,0,2,16,9,14,14,0,No
33,1,922,1,1,5,4,1,1,0,95,4,4,8,3,3,16184,22578,4,1,0,19,3,3,80,1,10,2,3,6,1,0,5,0,No
29,1,694,1,1,3,3,1,4,0,87,2,4,8,4,3,16124,3423,3,1,0,14,3,2,80,2,9,2,2,7,7,1,7,0,No
43,1,1034,2,16,3,6,1,4,0,80,3,4,9,4,2,16064,7744,5,1,1,22,4,3,80,1,22,3,3,17,13,1,9,0,No
54,2,1050,1,11,4,4,1,2,0,87,3,4,9,4,3,16032,24456,3,1,0,20,4,1,80,1,26,2,3,14,9,1,12,0,No
41,1,334,2,2,4,3,1,4,1,88,3,4,9,2,1,16015,15896,1,1,0,19,3,2,80,0,22,2,3,22,10,0,4,0,No
42,1,810,1,23,5,3,1,1,0,44,3,4,8,4,1,15992,15901,2,1,0,14,3,2,80,0,16,2,3,1,0,0,0,0,No
47,1,1225,2,2,4,3,1,2,0,47,4,4,9,2,3,15972,21086,6,1,0,14,3,3,80,3,29,2,3,3,2,1,2,0,No
58,2,1216,1,15,4,3,1,1,1,87,3,4,8,3,2,15787,21624,2,1,1,14,3,2,80,0,23,3,3,2,2,2,2,0,No
53,1,1219,2,2,4,3,1,1,0,78,2,4,9,4,2,15427,22021,2,1,0,16,3,3,80,0,31,3,3,25,8,3,7,0,No
48,1,1236,1,1,4,3,1,4,0,40,2,4,9,1,2,15402,17997,7,1,0,11,3,1,80,1,21,3,1,3,2,0,2,0,No
49,1,809,1,1,3,3,1,3,1,36,3,4,9,3,1,15379,22384,4,1,0,14,3,1,80,0,23,2,3,8,7,0,0,0,No
48,2,365,1,4,5,4,1,3,1,89,2,4,9,4,2,15202,5602,2,1,0,25,4,2,80,1,23,3,3,2,2,2,2,0,No
53,1,1376,2,2,2,4,1,3,1,45,3,4,9,3,3,14852,13938,6,1,0,13,3,3,80,1,22,3,4,17,13,15,2,0,No
53,1,970,1,7,3,3,1,3,1,59,4,4,8,3,2,14814,13514,3,1,0,19,3,3,80,0,32,3,3,5,1,1,3,0,No
55,1,836,1,8,3,4,1,4,0,33,3,4,9,3,3,14756,19730,2,1,1,14,3,3,80,3,21,2,3,5,0,0,2,0,No
55,1,1136,1,1,4,4,1,2,1,81,4,4,8,4,3,14732,12414,2,1,0,13,3,4,80,2,31,4,4,7,7,0,0,0,No
50,2,333,1,22,5,4,1,3,1,88,1,4,8,4,1,14411,24450,1,1,1,13,3,4,80,0,32,2,3,32,6,13,9,0,No
43,1,982,1,12,3,3,1,1,1,59,2,4,8,2,3,14336,4345,1,1,0,11,3,3,80,1,25,3,3,25,10,3,9,0,No
53,1,102,1,23,4,3,1,4,0,72,3,4,8,4,1,14275,20206,6,1,0,18,3,3,80,0,33,0,3,12,9,3,8,0,No
57,1,210,2,29,3,6,1,1,1,56,2,4,9,4,3,14118,22102,3,1,0,12,3,3,80,1,32,3,2,1,0,0,0,0,No
51,1,770,0,5,3,3,1,3,1,84,3,4,9,2,3,14026,17588,1,1,1,11,3,2,80,1,33,2,3,33,9,0,10,0,No
50,1,939,1,24,3,3,1,4,1,95,3,4,6,3,2,13973,4161,3,1,1,18,3,4,80,1,22,2,3,12,11,1,5,0,No
49,1,465,1,6,1,3,1,3,0,41,2,4,7,3,2,13966,11652,2,1,1,19,3,2,80,1,30,3,3,15,11,2,12,0,No
49,1,1091,1,1,2,1,1,3,0,90,2,4,7,3,1,13964,17810,7,1,1,12,3,4,80,0,25,2,3,7,1,0,7,0,No
58,1,682,2,10,4,4,1,4,1,37,3,4,5,3,1,13872,24409,0,1,0,13,3,3,80,0,38,1,2,37,10,1,8,0,No
52,2,890,1,25,4,4,1,3,0,81,2,4,6,4,2,13826,19028,3,1,0,22,4,3,80,0,31,3,3,9,8,0,0,0,No
47,2,217,2,3,3,4,1,4,0,49,3,4,5,3,3,13770,10225,9,1,1,12,3,4,80,2,28,2,2,22,2,11,13,0,No
42,2,481,2,12,3,3,1,3,1,44,3,4,5,1,1,13758,2447,0,1,1,12,3,2,80,0,22,2,2,21,9,13,14,1,Yes
40,0,218,1,8,1,4,1,4,1,55,2,3,8,2,3,13757,25178,2,1,0,11,3,3,80,1,16,5,3,9,8,4,8,0,No
37,1,161,1,10,3,3,1,3,0,42,4,3,8,4,2,13744,15471,1,1,1,25,4,1,80,1,16,2,3,16,11,6,8,0,No
51,1,313,1,3,3,4,1,4,0,98,3,4,7,2,1,13734,7192,3,1,0,18,3,3,80,0,21,6,3,7,7,1,0,0,No
59,1,715,1,2,3,3,1,3,0,69,2,4,6,4,1,13726,21829,3,1,1,13,3,1,80,0,30,4,3,5,3,4,3,0,No
55,1,267,2,13,4,6,1,1,1,85,4,4,5,3,1,13695,9277,6,1,1,17,3,3,80,0,24,2,2,19,7,3,8,1,Yes
31,2,1327,1,3,4,4,1,2,1,73,3,3,8,3,3,13675,13523,9,1,0,12,3,1,80,1,9,3,3,2,2,2,2,0,No
37,1,397,1,7,4,4,1,1,1,30,3,3,8,3,1,13664,25258,4,1,0,13,3,1,80,0,16,3,4,5,2,0,2,0,No
33,1,1277,1,15,1,4,1,2,1,56,3,3,9,3,2,13610,24619,7,1,1,12,3,4,80,0,15,2,4,7,6,7,7,1,Yes
37,0,728,1,1,4,4,1,1,0,80,3,3,8,4,3,13603,11677,2,1,1,18,3,1,80,2,15,2,3,5,2,0,2,0,No
41,1,896,2,6,3,3,1,4,0,75,3,3,9,4,1,13591,14674,3,1,1,18,3,3,80,0,16,3,3,1,0,0,0,0,No
38,1,1333,1,1,3,1,1,4,0,80,3,3,8,1,2,13582,16292,1,1,0,13,3,2,80,1,15,3,3,15,12,5,11,0,No
55,0,177,1,8,1,4,1,4,1,37,2,4,7,2,3,13577,25592,1,1,1,15,3,4,80,1,34,3,3,33,9,15,0,0,No
41,1,582,1,28,4,3,1,1,0,60,2,4,6,2,2,13570,5640,0,1,0,23,4,3,80,1,21,3,3,20,7,0,10,0,No
54,1,1217,1,2,4,1,1,1,0,60,3,3,8,3,2,13549,24001,9,1,0,12,3,1,80,1,16,5,1,4,3,0,3,0,No
42,2,555,2,26,3,6,1,3,0,77,3,4,5,2,2,13525,14864,5,1,0,14,3,4,80,1,23,2,4,20,4,4,8,0,No
40,2,530,1,1,4,3,1,3,1,78,2,4,7,2,2,13503,14115,1,1,0,22,4,4,80,1,22,3,2,22,3,11,11,0,No
40,2,593,1,9,4,4,1,2,0,88,3,3,8,3,1,13499,13782,9,1,0,17,3,3,80,0,20,3,2,18,7,2,13,0,No
45,1,1385,1,20,2,4,1,3,1,79,3,4,7,4,2,13496,7501,0,1,1,14,3,2,80,0,21,2,3,20,7,4,10,0,No
39,1,1253,1,10,1,4,1,3,1,65,3,3,8,3,1,13464,7914,7,1,0,21,4,3,80,0,9,3,3,4,3,2,2,0,No
33,2,515,1,1,2,3,1,1,0,98,3,3,8,4,1,13458,15146,1,1,1,12,3,3,80,0,15,1,3,15,14,8,12,0,No
56,1,1369,1,23,3,3,1,4,1,68,3,4,6,2,2,13402,18235,4,1,1,12,3,1,80,1,33,0,3,19,16,15,9,0,No
42,1,1396,1,6,3,4,1,3,1,83,3,3,8,1,2,13348,14842,9,1,0,13,3,2,80,1,18,3,4,13,7,5,7,0,No
39,1,119,2,15,4,6,1,2,1,77,3,4,5,1,1,13341,25098,0,1,0,12,3,1,80,0,21,3,3,20,8,11,10,0,No
44,1,1448,2,28,3,4,1,4,0,53,4,4,5,4,2,13320,11737,3,1,1,18,3,3,80,1,23,2,3,12,11,11,11,0,No
50,1,813,1,17,5,3,1,4,0,50,2,3,8,1,3,13269,21981,5,1,0,15,3,3,80,3,19,3,3,14,11,1,11,0,No
52,2,322,1,28,2,4,1,4,0,59,4,4,6,3,2,13247,9731,2,1,1,11,3,2,80,1,24,3,2,5,3,0,2,0,No
45,1,193,1,6,4,2,1,4,1,52,3,3,8,1,2,13245,15067,4,1,1,14,3,2,80,0,17,3,4,0,0,0,0,0,No
40,1,302,1,6,3,3,1,2,0,75,3,4,6,3,1,13237,20364,7,1,0,15,3,3,80,0,22,3,3,20,6,5,13,0,No
46,1,1319,2,3,3,1,1,1,0,45,4,4,5,1,3,13225,7739,2,1,0,12,3,4,80,1,25,5,3,19,17,2,8,0,No
56,2,906,2,6,3,3,1,3,0,86,4,4,5,1,2,13212,18256,9,1,0,11,3,4,80,3,36,0,2,7,7,7,7,0,No
38,1,201,1,10,3,4,1,2,0,99,1,3,8,3,2,13206,3376,3,1,0,12,3,1,80,1,20,3,3,18,16,1,11,0,No
40,0,1479,2,24,3,3,1,2,0,100,4,4,5,2,1,13194,17071,4,1,1,16,3,4,80,0,22,2,2,1,0,0,0,1,Yes
42,2,458,1,26,5,4,1,1,0,60,3,3,8,1,2,13191,23281,3,1,1,17,3,3,80,0,20,6,3,1,0,0,0,0,No
51,1,1405,1,11,2,1,1,4,0,82,2,4,6,2,1,13142,24439,3,1,0,16,3,2,80,0,29,1,2,5,2,0,3,0,No
49,1,174,2,8,4,1,1,4,1,56,2,4,5,2,2,13120,11879,6,1,0,17,3,2,80,1,22,3,3,9,8,2,3,0,No
51,1,942,1,3,3,1,1,1,0,53,3,3,9,3,2,13116,22984,2,1,0,11,3,4,80,0,15,2,3,2,2,2,2,0,No
